"POINT_ID"|"PTotal"|"Country"|"LONG"|"LAT"|"geom_X"|"geom_Y"
26521974|126.21|"Portugal"|-9.36143999975616|38.9296199995634|2652001.14840615|1973999.19078789
26561964|367.16|"Portugal"|-9.29050000007487|38.8513900000485|2655999.6553206|1964000.90034446
26581768|1419.24|"Portugal"|-8.77525000018733|37.1391100001264|2658000.29713378|1768000.58232429
26581792|245.45|"Portugal"|-8.8337200003777|37.3497500002624|2658000.75753974|1792000.19148085
26581954|349.92|"Portugal"|-9.2421000002148|38.7685399997213|2657999.53496881|1954001.13219986
26601784|188.04|"Portugal"|-8.7922499999375|37.2839700002154|2660000.41693081|1783999.67444285
26601978|345.26|"Portugal"|-9.28225000003744|38.9828300000045|2660000.07441198|1978000.27147372
26621974|148.17|"Portugal"|-9.24935999956426|38.9524500001674|2662001.27636428|1974002.37065992
26701780|295.08|"Portugal"|-8.672899999935|37.270900000035|2670000.45878845|1779999.0757613
26702014|352.95|"Portugal"|-9.26439999976014|39.3200800003918|2670000.15056664|2013999.89140811
26741814|215.08|"Portugal"|-8.71169999955526|37.5781700001455|2674000.95625888|1814000.8950251
26741964|399.28|"Portugal"|-9.0888499999275|38.8921900001684|2674003.19292941|1964000.70185029
26741986|361.47|"Portugal"|-9.14596999991551|39.0845200003977|2674000.32832907|1985999.94010253
26761768|1099.98|"Portugal"|-8.57821000039115|37.1786499996978|2675999.99513768|1767998.14454774
26761786|363.3|"Portugal"|-8.62160999990152|37.3367699997357|2676000.4310483|1786000.53479698
26761804|291.09|"Portugal"|-8.6653000001948|37.4948000001199|2675999.76416349|1804000.35171244
26761864|11.38|"Portugal"|-8.81297999992699|38.0210999996653|2676000.70278267|1863999.20498924
26761998|29.33|"Portugal"|-9.15479999972018|39.1939200002079|2676000.24889317|1997999.50859572
26762002|341.57|"Portugal"|-9.1652800000719|39.2288900003733|2675999.4427265|2002001.52218586
26781816|95.34|"Portugal"|-8.67254000042061|37.6045200002978|2678000.92606286|1815999.94703591
26802028|296.55|"Portugal"|-9.1884999997751|39.4650900002034|2679999.33935347|2028000.18663479
